parameter,value,lcos_per_mwh,initial_capex,annual_energy_mwh
technology.height_m,50.0,4707.81613258673,655448.1388888889,15.563153550000003
technology.height_m,140.0,1703.2814465303827,665254.7888888889,43.57682994
technology.height_m,230.0,1050.1217321703077,675061.4388888889,71.59050633000001
technology.height_m,320.0,764.3643571377748,684868.088888889,99.60418272000001
technology.height_m,410.0,604.0614394365983,694674.7388888889,127.61785911000001
technology.height_m,500.0,501.46757210784506,704481.3888888889,155.63153549999998
