iteration,economics.cost_per_kw,economics.cost_per_kwh,economics.cycles_per_year,technology.generator_efficiency,technology.height_m,technology.mass_kg,technology.mechanical_efficiency,technology.motor_efficiency,lcos_per_mwh,initial_capex,annual_energy_mwh,round_trip_efficiency
1,1444.3694361652024,138.139752447533,180.42859142029565,0.8723210738148822,337.7420593060477,330012.9062672003,0.9104706821246018,0.8775029318369119,2290.006481983374,814127.0835356,38.17952418123823,0.6969328031587961
2,918.7214157553133,111.48728815574755,340.7295182111259,0.9005355288103362,239.8648188583717,335756.66332568444,0.8039803954525796,0.8718637974803604,1325.800880285774,533819.4839621714,47.18610002662936,0.6312406456361404
3,1467.9533344870497,77.4275568169791,204.41782493412353,0.8506498759678061,149.19827991831352,1007118.8206510905,0.9208728877749212,0.9309430456677826,1436.255533012858,815669.2956501583,61.01759805634272,0.729245305002047
4,1364.0986345035803,128.78411006018183,405.4061253428363,0.8596716376833464,480.74588249305157,703913.454135152,0.927124154952119,0.8592745843380147,356.87144605893246,850766.9683885392,255.94448837655352,0.6848610404473496
5,1380.3717276006705,134.7877590341855,352.0732508398667,0.9052040631273227,291.30264115461534,1467738.9167752448,0.9244106996379492,0.8878534377208354,313.8300594635567,897172.2020455075,304.64718945630847,0.7429382848927993
6,956.0699749971332,51.110157235070204,247.29076108853224,0.8789387963602107,367.0573262967156,354989.2603867947,0.8119687965385441,0.8727898275651547,1164.7070447601407,546176.5422163882,54.67424916453969,0.6228846814234222
7,1730.3200464837435,111.28389237712528,363.1958519834459,0.8709507030771487,336.0579999189801,737798.6147641011,0.840046673307367,0.8870180967116882,649.786512663309,990322.75503809,159.19909667109403,0.6489772467960527
8,1403.9997358395021,101.2644718152111,389.6149878464561,0.8879455441757648,127.01239168914364,1174952.1575404191,0.9484285025954893,0.8663402493761928,742.4988552743293,793166.1412923009,115.55786999694647,0.7295909212134405
9,994.514963573273,63.20811279449591,480.0184000172691,0.8532100243904037,429.2833640854143,1231199.8938554937,0.8473179572088623,0.8729048071964104,167.3887426332119,638262.1407862697,436.1319798781979,0.6310579540175724
10,1204.7370378461387,69.13681831478577,236.3196276928942,0.8895631901060664,444.365431912701,677613.4569581735,0.9371821384610814,0.9155438665294879,530.1008325447261,709077.2400473166,147.95178928144955,0.7632731126464583
11,941.2528350730116,149.72913671446213,328.3342027867626,0.9397822883602477,302.6156603734179,615289.9302275223,0.8599100757710596,0.908458599022354,559.1167052795299,596570.8082093947,122.26184374885018,0.7341510658127004
12,1164.3759634796525,46.98804767671528,283.56675027728784,0.912744604170309,90.90923547820725,356539.6505096815,0.9188119046544446,0.8609649130350658,3959.417531380958,636336.771384882,18.07801163672874,0.7220401383244861
13,1492.794001296214,114.98814059292323,337.9396156430783,0.9360779702234497,498.2546211080435,934937.2141189644,0.8017221532914229,0.9471078377613618,326.8212201457933,942313.7036346602,304.80802862481545,0.7107802297857986
14,1749.197520273188,136.34382344160133,242.18616776288178,0.8934765250669104,170.07133547864424,1069154.1582957697,0.868058555949381,0.8611552173595877,1290.1428116421134,992133.167761807,80.12214490721172,0.6679033251919213
15,1402.8444443526057,106.98672325819895,203.49374399237217,0.9370518569836767,275.2637508726342,514382.25663615763,0.8447667187172949,0.941262783934482,1463.5125163954824,792687.3375820061,58.481102159121576,0.7450944165581815
16,1056.5716627051404,42.142441662441556,475.184515692616,0.9030353672195177,393.1298600338181,947254.8361435509,0.8000857844191915,0.9278626478630558,220.12637035155106,621036.2854384527,323.15309818083546,0.6703861076999035
17,1741.6443898277935,49.42187972746667,320.09666216081484,0.8557925166494187,445.4248450204329,1297998.6352334153,0.931701439880606,0.8807514125402661,295.93216536221144,998659.1982666989,354.0353217352774,0.7022610792204176
