rank,scenario_name,technology_name,stored_energy_kwh,delivered_energy_kwh,round_trip_efficiency,nominal_power_kw,initial_capex,annual_opex,annual_discharged_energy_mwh,lcos_per_mwh
1,shaft_reference_case,Shaft SGES,1634.4416666666666,1254.4096303534102,0.7674851026722134,2000.0,2173549.875,46003.52770428273,401.4110817130912,579.2097260307345
2,base_case,Tower SGES,408.61041666666665,301.2374314842,0.7372240628166398,1000.0,1144516.625,25225.92807361315,90.37122944525998,1404.101760265273
3,tower_reference_case,Tower SGES,136.20347222222222,101.17926986,0.7428538216332795,500.0,660896.2777777778,15091.061342874,30.353780958,2431.2220456221617
